,Bios,Year,Major_Dept,Ambition,Goals,Music,Sports,Friday_Nights,School_balance,Movie_Genres,Social_Style,Transfer
193,Food specialist. Typical tv evangelist. Hardcore pop culture advocate. Music expert.,2,5,2,2,5,4,1,2,1,2,1
194,Incurable food trailblazer. Infuriatingly humble internet scholar. Evil twitter lover. Lifelong pop culture guru. Tv ninja.,2,1,1,1,7,9,2,2,4,3,2
195,Infuriatingly humble internet practitioner. Creator. Thinker. Incurable pop culture specialist. Tv fanatic. Student.,4,1,3,2,10,7,1,1,3,3,2
196,Communicator. Zombie expert. Alcohol trailblazer. Professional introvert. Organizer.,1,3,3,1,10,1,1,1,10,1,1
197,Food geek. Creator. Wannabe alcohol practitioner. Evil twitter expert. Unapologetic thinker. Lifelong troublemaker.,4,1,3,1,5,6,2,3,4,3,2
198,Thinker. Lifelong zombie aficionado. Travel specialist. Total writer. Typical music junkie. Freelance organizer. Incurable tv advocate.,3,7,3,2,8,2,2,2,6,1,2
199,Tv junkie. Reader. Zombie practitioner. Food enthusiast. Internet specialist. Wannabe communicator.,1,3,2,2,2,5,2,2,8,1,1
200,Explorer. Professional gamer. Typical travel junkie. Web lover. Introvert. Twitter scholar. Friend of animals everywhere.,3,1,3,2,1,4,2,2,2,1,1
201,Friendly reader. Problem solver. Unapologetic introvert. Organizer. Passionate food junkie. Travel trailblazer.,1,3,2,1,3,5,1,1,2,1,2
202,Hipster-friendly zombie junkie. Devoted reader. Total twitter fan. General troublemaker. Social media advocate.,4,6,2,2,10,1,1,2,11,1,1
203,Writer. Subtly charming coffee geek. Friend of animals everywhere. Problem solver. Certified zombie maven. General bacon fanatic. Thinker. Food evangelist.,2,2,2,2,8,1,1,3,1,1,2
204,Beer fan. Passionate web scholar. Future teen idol. Food geek. Avid zombie fanatic. Problem solver. Reader.,3,4,2,2,7,1,1,2,2,3,1
205,Lifelong pop culture trailblazer. Friendly coffee advocate. Amateur introvert. Social media enthusiast. Twitter maven.,2,5,2,1,1,3,2,1,2,3,1
206,Food ninja. Typical tv aficionado. Organizer. Pop culture practitioner. Music nerd. Entrepreneur.,1,7,3,2,6,8,1,3,8,3,1
207,Professional alcohol expert. Future teen idol. Total communicator. General social media scholar.,1,3,3,2,7,3,2,3,1,1,2
208,Food specialist. Typical tv evangelist. Hardcore pop culture advocate. Music expert.,4,6,2,2,9,7,2,1,11,2,2
209,Incurable food trailblazer. Infuriatingly humble internet scholar. Evil twitter lover. Lifelong pop culture guru. Tv ninja.,4,6,3,2,4,7,2,1,7,3,1
210,Alcohol guru. Friendly beer nerd. Social media advocate. Tv scholar. Proud music maven.,2,5,2,2,8,8,1,1,9,1,2
211,Passionate web guru. Entrepreneur. Thinker. Wannabe beer enthusiast. Explorer. Analyst.,3,3,2,2,7,10,1,1,2,1,2
212,Food advocate. Twitter trailblazer. Tv scholar. Alcohol guru. Hardcore internet practitioner.,4,2,1,2,9,5,2,2,5,2,1
213,Troublemaker. Freelance zombie lover. Writer. Friendly twitter advocate. Devoted coffee fan.,2,1,2,2,1,2,1,2,5,2,1
214,Troublemaker. Unapologetic writer. Alcoholaholic. Pop culture junkie. Social media lover. Lifelong music advocate. Travel practitioner. Twitter guru.,1,2,3,1,5,9,1,2,1,1,1
215,Devoted thinker. Zombie trailblazer. Internet fanatic. Troublemaker. Incurable travel specialist. Bacon junkie.,3,2,2,2,6,7,1,2,3,1,2
216,Beeraholic. Student. Award-winning analyst. Unable to type with boxing gloves on. Coffee fanatic.,3,6,2,2,3,10,2,2,6,2,1
217,Lifelong web guru. Devoted tv enthusiast. Pop culture fan. Friendly coffee aficionado.,1,8,2,1,1,8,1,2,4,2,1
218,Total organizer. Infuriatingly humble social media specialist. Food geek. Problem solver. Wannabe beer junkie.,1,5,2,1,10,5,2,1,9,1,2
219,Proud writer. Alcohol trailblazer. Travel nerd. Unapologetic social media advocate.,2,1,2,2,1,10,2,1,7,1,1
220,Internet specialist. Organizer. Unapologetic writer. Music lover. Thinker. Evil creator. Devoted reader. Proud bacon fanatic. Zombie guru.,4,8,1,1,3,4,1,1,8,3,1
221,Thinker. Amateur tv guru. Typical internet lover. Beer scholar. Twitter junkie. Freelance creator.,2,3,3,1,10,6,2,2,3,3,1
222,Total internet maven. Music lover. Social media fanatic. Twitter practitioner.,3,5,3,2,9,1,2,3,6,2,2
223,Incurable twitteraholic. Writer. Coffee aficionado. Beer evangelist. Total bacon enthusiast. Devoted music junkie. Alcohol ninja.,2,5,1,1,1,9,2,3,6,2,2
224,Thinker. Communicator. Baconaholic. Pop culture fan. Hipster-friendly coffee practitioner.,1,5,1,2,9,6,1,3,4,1,1
225,Alcohol guru. Friendly beer nerd. Social media advocate. Tv scholar. Proud music maven.,4,1,3,1,7,3,2,3,9,1,1
226,Passionate web guru. Entrepreneur. Thinker. Wannabe beer enthusiast. Explorer. Analyst.,3,6,3,1,1,7,1,3,10,3,2
227,Food advocate. Twitter trailblazer. Tv scholar. Alcohol guru. Hardcore internet practitioner.,3,3,2,2,1,5,2,3,6,2,1
228,Troublemaker. Freelance zombie lover. Writer. Friendly twitter advocate. Devoted coffee fan.,1,1,2,2,10,8,2,1,8,1,2
229,Troublemaker. Unapologetic writer. Alcoholaholic. Pop culture junkie. Social media lover. Lifelong music advocate. Travel practitioner. Twitter guru.,3,4,2,2,6,2,1,3,1,1,2
230,Devoted thinker. Zombie trailblazer. Internet fanatic. Troublemaker. Incurable travel specialist. Bacon junkie.,4,7,2,2,7,3,2,3,11,3,2
231,Beeraholic. Student. Award-winning analyst. Unable to type with boxing gloves on. Coffee fanatic.,3,5,2,2,7,9,1,1,7,3,2
232,Lifelong web guru. Devoted tv enthusiast. Pop culture fan. Friendly coffee aficionado.,4,6,2,1,8,2,2,2,9,3,2
233,Total organizer. Infuriatingly humble social media specialist. Food geek. Problem solver. Wannabe beer junkie.,4,5,2,2,3,1,2,1,9,1,2
234,Proud writer. Alcohol trailblazer. Travel nerd. Unapologetic social media advocate.,3,2,1,2,4,7,1,1,9,1,2
235,Internet specialist. Organizer. Unapologetic writer. Music lover. Thinker. Evil creator. Devoted reader. Proud bacon fanatic. Zombie guru.,1,1,1,1,6,9,1,2,3,2,1
236,Thinker. Amateur tv guru. Typical internet lover. Beer scholar. Twitter junkie. Freelance creator.,1,5,3,1,10,4,1,3,4,3,2
237,Total internet maven. Music lover. Social media fanatic. Twitter practitioner.,1,1,3,1,2,10,2,2,5,3,1
238,Incurable twitteraholic. Writer. Coffee aficionado. Beer evangelist. Total bacon enthusiast. Devoted music junkie. Alcohol ninja.,2,2,2,2,2,2,2,2,10,1,1
239,Thinker. Communicator. Baconaholic. Pop culture fan. Hipster-friendly coffee practitioner.,3,8,2,2,7,1,1,2,4,1,1
240,Alcohol guru. Friendly beer nerd. Social media advocate. Tv scholar. Proud music maven.,4,6,3,2,6,7,2,3,11,3,1
241,Passionate web guru. Entrepreneur. Thinker. Wannabe beer enthusiast. Explorer. Analyst.,4,6,2,2,7,8,1,3,3,2,1
242,Food advocate. Twitter trailblazer. Tv scholar. Alcohol guru. Hardcore internet practitioner.,1,5,1,1,1,4,1,1,8,1,1
243,Troublemaker. Freelance zombie lover. Writer. Friendly twitter advocate. Devoted coffee fan.,4,4,3,2,6,10,1,2,7,3,1
244,Troublemaker. Unapologetic writer. Alcoholaholic. Pop culture junkie. Social media lover. Lifelong music advocate. Travel practitioner. Twitter guru.,4,4,2,1,2,7,2,1,4,1,1
245,Devoted thinker. Zombie trailblazer. Internet fanatic. Troublemaker. Incurable travel specialist. Bacon junkie.,1,6,2,2,6,7,1,3,5,2,2
246,Beeraholic. Student. Award-winning analyst. Unable to type with boxing gloves on. Coffee fanatic.,4,1,3,2,8,4,1,2,11,2,1
247,Lifelong web guru. Devoted tv enthusiast. Pop culture fan. Friendly coffee aficionado.,4,8,1,1,3,10,1,3,7,3,1
248,Total organizer. Infuriatingly humble social media specialist. Food geek. Problem solver. Wannabe beer junkie.,2,7,2,1,7,8,1,1,2,3,1
249,Proud writer. Alcohol trailblazer. Travel nerd. Unapologetic social media advocate.,1,2,3,2,9,7,1,2,9,1,2
250,Internet specialist. Organizer. Unapologetic writer. Music lover. Thinker. Evil creator. Devoted reader. Proud bacon fanatic. Zombie guru.,4,1,1,2,4,10,1,1,2,3,2
251,Thinker. Amateur tv guru. Typical internet lover. Beer scholar. Twitter junkie. Freelance creator.,4,3,3,2,1,7,2,2,5,3,1
252,Total internet maven. Music lover. Social media fanatic. Twitter practitioner.,1,3,1,2,9,9,2,1,6,1,1
253,Incurable twitteraholic. Writer. Coffee aficionado. Beer evangelist. Total bacon enthusiast. Devoted music junkie. Alcohol ninja.,3,3,3,2,4,4,2,3,1,3,2
254,Thinker. Communicator. Baconaholic. Pop culture fan. Hipster-friendly coffee practitioner.,3,8,3,1,1,10,2,2,9,3,2
255,Alcohol guru. Friendly beer nerd. Social media advocate. Tv scholar. Proud music maven.,2,5,1,1,5,8,2,3,3,2,1
256,Passionate web guru. Entrepreneur. Thinker. Wannabe beer enthusiast. Explorer. Analyst.,1,2,3,2,4,4,1,2,6,3,2
257,Food advocate. Twitter trailblazer. Tv scholar. Alcohol guru. Hardcore internet practitioner.,1,6,1,2,6,9,2,1,1,1,1
258,Troublemaker. Freelance zombie lover. Writer. Friendly twitter advocate. Devoted coffee fan.,3,2,1,2,9,4,1,1,7,1,2
259,Troublemaker. Unapologetic writer. Alcoholaholic. Pop culture junkie. Social media lover. Lifelong music advocate. Travel practitioner. Twitter guru.,2,5,3,2,2,1,2,1,2,3,1
260,Devoted thinker. Zombie trailblazer. Internet fanatic. Troublemaker. Incurable travel specialist. Bacon junkie.,2,5,3,1,6,7,2,2,2,3,1
261,Beeraholic. Student. Award-winning analyst. Unable to type with boxing gloves on. Coffee fanatic.,3,6,3,2,8,1,1,1,9,2,2
262,Lifelong web guru. Devoted tv enthusiast. Pop culture fan. Friendly coffee aficionado.,3,8,1,1,7,6,1,2,4,2,2
263,Total organizer. Infuriatingly humble social media specialist. Food geek. Problem solver. Wannabe beer junkie.,1,1,2,2,9,1,2,3,3,2,2
264,Proud writer. Alcohol trailblazer. Travel nerd. Unapologetic social media advocate.,1,4,2,1,8,3,2,2,10,1,2
265,Internet specialist. Organizer. Unapologetic writer. Music lover. Thinker. Evil creator. Devoted reader. Proud bacon fanatic. Zombie guru.,2,8,2,1,3,9,2,1,3,2,2
266,Thinker. Amateur tv guru. Typical internet lover. Beer scholar. Twitter junkie. Freelance creator.,3,8,3,2,1,1,1,1,8,2,1
267,Total internet maven. Music lover. Social media fanatic. Twitter practitioner.,2,8,3,2,7,9,2,1,1,1,2
268,Incurable twitteraholic. Writer. Coffee aficionado. Beer evangelist. Total bacon enthusiast. Devoted music junkie. Alcohol ninja.,4,8,2,1,2,7,2,2,8,1,2
269,Thinker. Communicator. Baconaholic. Pop culture fan. Hipster-friendly coffee practitioner.,3,4,3,1,10,3,2,2,4,3,1
270,Alcohol guru. Friendly beer nerd. Social media advocate. Tv scholar. Proud music maven.,4,2,1,2,8,3,2,2,8,3,2
271,Passionate web guru. Entrepreneur. Thinker. Wannabe beer enthusiast. Explorer. Analyst.,4,4,1,2,7,10,2,2,5,3,1
272,Food advocate. Twitter trailblazer. Tv scholar. Alcohol guru. Hardcore internet practitioner.,1,1,2,1,10,9,2,1,7,3,2
273,Troublemaker. Freelance zombie lover. Writer. Friendly twitter advocate. Devoted coffee fan.,1,1,2,2,5,10,1,2,10,3,2
274,Troublemaker. Unapologetic writer. Alcoholaholic. Pop culture junkie. Social media lover. Lifelong music advocate. Travel practitioner. Twitter guru.,4,3,2,1,3,9,2,2,11,3,2
275,Devoted thinker. Zombie trailblazer. Internet fanatic. Troublemaker. Incurable travel specialist. Bacon junkie.,3,7,3,1,1,3,1,1,5,1,1
276,Beeraholic. Student. Award-winning analyst. Unable to type with boxing gloves on. Coffee fanatic.,4,3,2,2,1,10,2,1,4,1,1
277,Lifelong web guru. Devoted tv enthusiast. Pop culture fan. Friendly coffee aficionado.,4,6,1,1,8,4,2,1,3,1,1
278,Total organizer. Infuriatingly humble social media specialist. Food geek. Problem solver. Wannabe beer junkie.,2,1,1,2,10,3,1,3,6,1,1
279,Proud writer. Alcohol trailblazer. Travel nerd. Unapologetic social media advocate.,3,3,3,2,6,7,1,3,2,3,2
280,Internet specialist. Organizer. Unapologetic writer. Music lover. Thinker. Evil creator. Devoted reader. Proud bacon fanatic. Zombie guru.,2,7,1,2,4,2,2,2,1,3,2
281,Thinker. Amateur tv guru. Typical internet lover. Beer scholar. Twitter junkie. Freelance creator.,4,6,3,1,7,6,1,3,3,1,1
282,Total internet maven. Music lover. Social media fanatic. Twitter practitioner.,3,3,2,2,7,9,2,2,6,3,1
283,Incurable twitteraholic. Writer. Coffee aficionado. Beer evangelist. Total bacon enthusiast. Devoted music junkie. Alcohol ninja.,2,1,2,1,2,2,2,3,9,3,1
284,Thinker. Communicator. Baconaholic. Pop culture fan. Hipster-friendly coffee practitioner.,1,4,3,2,1,10,1,2,8,2,2
285,Alcohol guru. Friendly beer nerd. Social media advocate. Tv scholar. Proud music maven.,1,5,3,2,3,2,1,3,4,1,1
286,Passionate web guru. Entrepreneur. Thinker. Wannabe beer enthusiast. Explorer. Analyst.,3,7,3,2,6,9,1,2,1,1,2
287,Food advocate. Twitter trailblazer. Tv scholar. Alcohol guru. Hardcore internet practitioner.,3,7,2,1,5,5,1,2,10,2,2
288,Troublemaker. Freelance zombie lover. Writer. Friendly twitter advocate. Devoted coffee fan.,3,7,2,1,5,2,2,2,11,1,2
289,Troublemaker. Unapologetic writer. Alcoholaholic. Pop culture junkie. Social media lover. Lifelong music advocate. Travel practitioner. Twitter guru.,4,4,2,2,6,3,1,3,10,3,2
290,Devoted thinker. Zombie trailblazer. Internet fanatic. Troublemaker. Incurable travel specialist. Bacon junkie.,1,4,3,1,3,1,1,3,5,1,2
291,Beeraholic. Student. Award-winning analyst. Unable to type with boxing gloves on. Coffee fanatic.,3,1,2,2,9,3,1,1,3,3,2
292,Lifelong web guru. Devoted tv enthusiast. Pop culture fan. Friendly coffee aficionado.,1,2,2,2,10,8,2,1,3,2,2
293,Total organizer. Infuriatingly humble social media specialist. Food geek. Problem solver. Wannabe beer junkie.,1,3,2,2,3,2,2,3,1,2,2
294,Proud writer. Alcohol trailblazer. Travel nerd. Unapologetic social media advocate.,3,5,3,2,7,5,2,3,5,1,1
295,Internet specialist. Organizer. Unapologetic writer. Music lover. Thinker. Evil creator. Devoted reader. Proud bacon fanatic. Zombie guru.,2,3,3,1,5,5,2,3,5,1,2
296,Thinker. Amateur tv guru. Typical internet lover. Beer scholar. Twitter junkie. Freelance creator.,4,6,1,1,6,4,2,3,4,1,1
297,Total internet maven. Music lover. Social media fanatic. Twitter practitioner.,3,2,2,1,4,3,1,1,6,1,1
298,Incurable twitteraholic. Writer. Coffee aficionado. Beer evangelist. Total bacon enthusiast. Devoted music junkie. Alcohol ninja.,1,1,1,2,1,1,2,3,5,1,1
299,Thinker. Communicator. Baconaholic. Pop culture fan. Hipster-friendly coffee practitioner.,1,4,2,2,8,9,1,2,4,2,1
300,Alcohol guru. Friendly beer nerd. Social media advocate. Tv scholar. Proud music maven.,1,5,2,1,8,10,2,1,2,3,1
301,Passionate web guru. Entrepreneur. Thinker. Wannabe beer enthusiast. Explorer. Analyst.,3,6,1,1,5,6,2,3,9,3,1
302,Food advocate. Twitter trailblazer. Tv scholar. Alcohol guru. Hardcore internet practitioner.,4,1,1,1,1,2,2,1,1,2,1
303,Troublemaker. Freelance zombie lover. Writer. Friendly twitter advocate. Devoted coffee fan.,4,6,2,2,1,4,1,3,6,2,1
304,Troublemaker. Unapologetic writer. Alcoholaholic. Pop culture junkie. Social media lover. Lifelong music advocate. Travel practitioner. Twitter guru.,2,1,2,2,10,6,2,2,5,1,1
305,Devoted thinker. Zombie trailblazer. Internet fanatic. Troublemaker. Incurable travel specialist. Bacon junkie.,2,3,2,1,1,9,2,3,7,3,1
306,Beeraholic. Student. Award-winning analyst. Unable to type with boxing gloves on. Coffee fanatic.,1,7,1,2,6,1,1,3,8,3,2
307,Lifelong web guru. Devoted tv enthusiast. Pop culture fan. Friendly coffee aficionado.,3,7,2,2,6,5,1,2,5,2,2
308,Total organizer. Infuriatingly humble social media specialist. Food geek. Problem solver. Wannabe beer junkie.,4,2,2,2,7,9,2,2,8,1,2
309,Proud writer. Alcohol trailblazer. Travel nerd. Unapologetic social media advocate.,2,2,1,2,6,9,1,2,9,1,1
310,Internet specialist. Organizer. Unapologetic writer. Music lover. Thinker. Evil creator. Devoted reader. Proud bacon fanatic. Zombie guru.,2,8,1,2,10,10,1,2,3,3,1
311,Thinker. Amateur tv guru. Typical internet lover. Beer scholar. Twitter junkie. Freelance creator.,2,6,3,2,10,5,1,1,2,3,2
312,Total internet maven. Music lover. Social media fanatic. Twitter practitioner.,1,3,2,1,10,8,2,1,10,2,2
313,Incurable twitteraholic. Writer. Coffee aficionado. Beer evangelist. Total bacon enthusiast. Devoted music junkie. Alcohol ninja.,4,3,1,2,5,5,2,2,9,3,2
314,Thinker. Communicator. Baconaholic. Pop culture fan. Hipster-friendly coffee practitioner.,1,5,3,2,6,1,2,3,8,3,2
315,Alcohol guru. Friendly beer nerd. Social media advocate. Tv scholar. Proud music maven.,1,5,3,2,9,9,2,1,4,2,2
316,Passionate web guru. Entrepreneur. Thinker. Wannabe beer enthusiast. Explorer. Analyst.,2,7,1,1,2,3,1,2,5,2,2
317,Food advocate. Twitter trailblazer. Tv scholar. Alcohol guru. Hardcore internet practitioner.,2,8,2,1,7,9,2,3,10,2,2
318,Troublemaker. Freelance zombie lover. Writer. Friendly twitter advocate. Devoted coffee fan.,4,7,3,2,9,1,1,2,10,2,2
319,Troublemaker. Unapologetic writer. Alcoholaholic. Pop culture junkie. Social media lover. Lifelong music advocate. Travel practitioner. Twitter guru.,1,8,3,1,3,7,2,2,7,1,1
320,Devoted thinker. Zombie trailblazer. Internet fanatic. Troublemaker. Incurable travel specialist. Bacon junkie.,4,7,3,2,2,3,1,2,6,2,1
321,Beeraholic. Student. Award-winning analyst. Unable to type with boxing gloves on. Coffee fanatic.,2,1,2,1,2,9,2,2,2,3,1
322,Lifelong web guru. Devoted tv enthusiast. Pop culture fan. Friendly coffee aficionado.,3,2,2,1,1,6,2,2,7,3,2
323,Total organizer. Infuriatingly humble social media specialist. Food geek. Problem solver. Wannabe beer junkie.,1,7,1,2,6,3,1,3,6,2,2
324,Proud writer. Alcohol trailblazer. Travel nerd. Unapologetic social media advocate.,1,7,3,1,5,6,1,1,9,3,1
325,Internet specialist. Organizer. Unapologetic writer. Music lover. Thinker. Evil creator. Devoted reader. Proud bacon fanatic. Zombie guru.,1,2,1,1,3,1,2,1,8,1,2
326,Thinker. Amateur tv guru. Typical internet lover. Beer scholar. Twitter junkie. Freelance creator.,1,8,1,1,1,2,1,1,8,2,2
327,Total internet maven. Music lover. Social media fanatic. Twitter practitioner.,3,2,1,2,5,10,2,2,7,1,2
328,Incurable twitteraholic. Writer. Coffee aficionado. Beer evangelist. Total bacon enthusiast. Devoted music junkie. Alcohol ninja.,1,6,1,2,6,2,1,3,4,2,1
329,Thinker. Communicator. Baconaholic. Pop culture fan. Hipster-friendly coffee practitioner.,3,8,3,1,5,7,1,1,7,3,1
330,Alcohol guru. Friendly beer nerd. Social media advocate. Tv scholar. Proud music maven.,4,3,3,2,4,10,1,3,10,1,2
331,Passionate web guru. Entrepreneur. Thinker. Wannabe beer enthusiast. Explorer. Analyst.,3,3,1,2,6,2,2,3,8,2,2
332,Food advocate. Twitter trailblazer. Tv scholar. Alcohol guru. Hardcore internet practitioner.,3,8,3,2,10,3,2,3,10,3,2
333,Troublemaker. Freelance zombie lover. Writer. Friendly twitter advocate. Devoted coffee fan.,2,7,1,1,2,3,1,3,5,1,2
334,Troublemaker. Unapologetic writer. Alcoholaholic. Pop culture junkie. Social media lover. Lifelong music advocate. Travel practitioner. Twitter guru.,2,3,1,2,5,4,2,1,8,2,1
335,Devoted thinker. Zombie trailblazer. Internet fanatic. Troublemaker. Incurable travel specialist. Bacon junkie.,1,3,1,2,10,7,1,3,11,2,2
336,Beeraholic. Student. Award-winning analyst. Unable to type with boxing gloves on. Coffee fanatic.,4,2,1,2,9,2,1,1,6,3,2
337,Lifelong web guru. Devoted tv enthusiast. Pop culture fan. Friendly coffee aficionado.,3,8,2,1,4,3,1,1,1,3,2
338,Total organizer. Infuriatingly humble social media specialist. Food geek. Problem solver. Wannabe beer junkie.,3,6,3,1,8,3,1,3,1,1,1
339,Proud writer. Alcohol trailblazer. Travel nerd. Unapologetic social media advocate.,1,2,2,1,9,2,2,1,11,2,1
340,Internet specialist. Organizer. Unapologetic writer. Music lover. Thinker. Evil creator. Devoted reader. Proud bacon fanatic. Zombie guru.,4,8,1,1,9,9,1,2,1,3,2
341,Thinker. Amateur tv guru. Typical internet lover. Beer scholar. Twitter junkie. Freelance creator.,1,6,1,2,5,8,1,2,3,1,2
342,Total internet maven. Music lover. Social media fanatic. Twitter practitioner.,3,1,1,2,4,6,2,1,2,2,2
343,Incurable twitteraholic. Writer. Coffee aficionado. Beer evangelist. Total bacon enthusiast. Devoted music junkie. Alcohol ninja.,4,2,1,1,1,5,1,1,6,3,2
344,Thinker. Communicator. Baconaholic. Pop culture fan. Hipster-friendly coffee practitioner.,4,7,3,2,8,6,1,2,2,1,2
345,Alcohol guru. Friendly beer nerd. Social media advocate. Tv scholar. Proud music maven.,4,5,2,2,8,3,1,1,1,1,2
346,Passionate web guru. Entrepreneur. Thinker. Wannabe beer enthusiast. Explorer. Analyst.,2,5,2,2,7,4,1,2,7,3,2
347,Food advocate. Twitter trailblazer. Tv scholar. Alcohol guru. Hardcore internet practitioner.,1,5,3,1,1,4,1,1,10,3,2
348,Troublemaker. Freelance zombie lover. Writer. Friendly twitter advocate. Devoted coffee fan.,4,4,3,1,2,6,2,1,7,2,2
349,Troublemaker. Unapologetic writer. Alcoholaholic. Pop culture junkie. Social media lover. Lifelong music advocate. Travel practitioner. Twitter guru.,3,1,1,2,4,5,2,2,1,2,2
350,Devoted thinker. Zombie trailblazer. Internet fanatic. Troublemaker. Incurable travel specialist. Bacon junkie.,2,4,1,1,10,10,1,2,8,3,1
351,Beeraholic. Student. Award-winning analyst. Unable to type with boxing gloves on. Coffee fanatic.,1,4,2,2,7,1,2,3,10,1,1
352,Lifelong web guru. Devoted tv enthusiast. Pop culture fan. Friendly coffee aficionado.,2,6,3,1,5,10,2,1,1,2,1
353,Total organizer. Infuriatingly humble social media specialist. Food geek. Problem solver. Wannabe beer junkie.,2,5,2,1,5,4,2,3,11,2,2
354,Proud writer. Alcohol trailblazer. Travel nerd. Unapologetic social media advocate.,1,6,3,1,5,5,1,1,2,2,1
355,Internet specialist. Organizer. Unapologetic writer. Music lover. Thinker. Evil creator. Devoted reader. Proud bacon fanatic. Zombie guru.,4,5,3,1,8,1,2,1,9,1,2
356,Thinker. Amateur tv guru. Typical internet lover. Beer scholar. Twitter junkie. Freelance creator.,4,4,1,1,2,7,2,1,9,1,2
357,Total internet maven. Music lover. Social media fanatic. Twitter practitioner.,4,2,1,1,5,4,2,3,1,3,2
358,Incurable twitteraholic. Writer. Coffee aficionado. Beer evangelist. Total bacon enthusiast. Devoted music junkie. Alcohol ninja.,1,7,2,2,2,4,2,3,3,1,2
359,Thinker. Communicator. Baconaholic. Pop culture fan. Hipster-friendly coffee practitioner.,4,3,3,1,9,10,1,3,1,1,2
360,Alcohol guru. Friendly beer nerd. Social media advocate. Tv scholar. Proud music maven.,2,3,3,2,2,5,2,1,4,3,2
361,Passionate web guru. Entrepreneur. Thinker. Wannabe beer enthusiast. Explorer. Analyst.,4,1,2,2,4,7,2,2,5,2,1
362,Food advocate. Twitter trailblazer. Tv scholar. Alcohol guru. Hardcore internet practitioner.,4,6,3,1,8,6,1,3,4,3,1
363,Troublemaker. Freelance zombie lover. Writer. Friendly twitter advocate. Devoted coffee fan.,1,5,2,2,5,6,1,1,7,3,1
364,Troublemaker. Unapologetic writer. Alcoholaholic. Pop culture junkie. Social media lover. Lifelong music advocate. Travel practitioner. Twitter guru.,1,6,1,2,6,6,2,3,9,1,2
365,Devoted thinker. Zombie trailblazer. Internet fanatic. Troublemaker. Incurable travel specialist. Bacon junkie.,2,7,3,1,1,10,1,3,8,2,1
366,Beeraholic. Student. Award-winning analyst. Unable to type with boxing gloves on. Coffee fanatic.,3,2,3,2,10,7,1,2,4,1,2
367,Lifelong web guru. Devoted tv enthusiast. Pop culture fan. Friendly coffee aficionado.,4,2,1,2,6,10,1,2,5,3,1
368,Total organizer. Infuriatingly humble social media specialist. Food geek. Problem solver. Wannabe beer junkie.,1,5,1,2,3,1,1,3,10,1,1
369,Proud writer. Alcohol trailblazer. Travel nerd. Unapologetic social media advocate.,1,5,2,1,1,3,2,1,8,1,2
370,Internet specialist. Organizer. Unapologetic writer. Music lover. Thinker. Evil creator. Devoted reader. Proud bacon fanatic. Zombie guru.,1,3,1,1,5,6,1,1,4,1,1
371,Thinker. Amateur tv guru. Typical internet lover. Beer scholar. Twitter junkie. Freelance creator.,2,2,3,2,10,7,1,1,2,2,2
372,Total internet maven. Music lover. Social media fanatic. Twitter practitioner.,4,6,3,2,1,2,2,2,5,1,1
373,Incurable twitteraholic. Writer. Coffee aficionado. Beer evangelist. Total bacon enthusiast. Devoted music junkie. Alcohol ninja.,3,5,1,2,8,6,1,2,8,3,2
374,Thinker. Communicator. Baconaholic. Pop culture fan. Hipster-friendly coffee practitioner.,2,2,2,2,9,7,2,1,1,3,1
375,Alcohol guru. Friendly beer nerd. Social media advocate. Tv scholar. Proud music maven.,4,6,2,1,2,4,2,1,3,1,2
376,Passionate web guru. Entrepreneur. Thinker. Wannabe beer enthusiast. Explorer. Analyst.,1,7,2,2,2,8,2,2,3,1,2
377,Food advocate. Twitter trailblazer. Tv scholar. Alcohol guru. Hardcore internet practitioner.,3,7,2,1,5,5,2,3,5,3,2
378,Troublemaker. Freelance zombie lover. Writer. Friendly twitter advocate. Devoted coffee fan.,4,4,3,2,6,6,2,3,10,3,1
379,Troublemaker. Unapologetic writer. Alcoholaholic. Pop culture junkie. Social media lover. Lifelong music advocate. Travel practitioner. Twitter guru.,2,5,2,1,4,3,1,1,8,2,1
380,Devoted thinker. Zombie trailblazer. Internet fanatic. Troublemaker. Incurable travel specialist. Bacon junkie.,1,2,1,1,4,1,2,3,3,1,1
381,Beeraholic. Student. Award-winning analyst. Unable to type with boxing gloves on. Coffee fanatic.,3,6,3,1,4,7,2,2,4,1,2
382,Lifelong web guru. Devoted tv enthusiast. Pop culture fan. Friendly coffee aficionado.,3,1,1,2,9,6,1,1,6,1,2
383,Total organizer. Infuriatingly humble social media specialist. Food geek. Problem solver. Wannabe beer junkie.,2,6,3,1,8,2,1,1,5,3,2
384,Proud writer. Alcohol trailblazer. Travel nerd. Unapologetic social media advocate.,2,1,3,2,3,4,2,3,2,3,2
385,Internet specialist. Organizer. Unapologetic writer. Music lover. Thinker. Evil creator. Devoted reader. Proud bacon fanatic. Zombie guru.,1,2,2,2,10,3,1,1,4,2,1
386,Thinker. Amateur tv guru. Typical internet lover. Beer scholar. Twitter junkie. Freelance creator.,1,1,2,1,7,1,2,3,3,3,1
387,Total internet maven. Music lover. Social media fanatic. Twitter practitioner.,2,8,1,1,5,5,2,2,3,3,2
388,Incurable twitteraholic. Writer. Coffee aficionado. Beer evangelist. Total bacon enthusiast. Devoted music junkie. Alcohol ninja.,4,3,1,2,9,6,2,3,11,2,1
389,Thinker. Communicator. Baconaholic. Pop culture fan. Hipster-friendly coffee practitioner.,1,3,2,2,4,7,2,1,5,2,2
