,Year,Major_Dept,Ambition,Goals,Music,Sports,Friday_Nights,School_balance,Movie_Genres,Social_Style,Transfer
578,1,1,1,1,5,8,2,2,10,2,2
579,2,2,1,1,6,4,2,1,4,3,1
580,2,3,3,1,5,1,1,2,6,1,1
581,3,6,2,2,6,1,2,2,6,3,1
582,1,8,2,1,3,9,1,2,7,3,2
583,1,2,2,2,6,1,2,3,3,3,2
584,1,8,2,1,4,9,1,3,2,2,2
585,2,2,1,2,2,2,1,1,5,1,1
586,4,5,1,2,2,2,2,2,9,3,1
587,3,5,2,2,1,3,2,1,1,3,1
588,4,7,2,1,1,9,2,1,9,2,1
589,1,5,3,1,4,3,2,1,11,3,2
590,2,8,2,1,3,6,1,3,5,2,2
591,4,4,3,2,4,3,1,1,7,3,1
592,4,5,3,2,2,1,2,1,11,2,2
593,1,6,1,1,9,3,1,2,6,1,2
594,2,5,2,2,10,2,1,2,8,3,2
595,2,2,1,2,10,8,1,2,6,1,1
596,2,8,3,2,10,5,1,2,9,2,2
597,4,3,1,1,10,6,1,1,4,1,1
598,1,8,2,2,8,3,2,1,3,2,1
599,3,8,2,2,5,1,1,3,9,2,1
600,1,1,2,2,9,4,1,3,10,2,1
601,4,6,3,2,10,4,2,1,8,2,2
602,3,7,1,1,9,6,2,3,2,2,1
603,4,2,1,2,5,9,2,3,7,3,2
604,3,3,3,2,8,3,2,1,3,2,1
605,3,6,1,2,4,7,2,3,8,1,2
606,4,8,3,2,1,4,2,2,6,1,2
607,3,4,1,1,1,9,2,1,2,3,2
608,1,4,3,2,8,3,2,2,7,2,1
609,1,6,3,1,1,9,2,3,4,2,1
610,4,3,2,2,1,8,2,1,5,3,1
611,2,2,2,1,10,8,1,3,3,1,1
612,3,5,2,2,7,7,2,3,1,3,2
613,3,6,2,1,7,10,2,2,10,1,1
614,4,7,2,2,8,7,1,2,4,2,2
615,2,3,3,2,8,5,2,3,4,1,1
616,2,4,2,1,4,9,2,1,11,2,1
617,3,3,3,2,9,8,2,2,6,1,2
618,1,3,2,2,1,3,2,2,5,1,2
619,3,4,3,1,8,10,2,3,9,2,2
620,1,4,1,2,1,3,1,1,5,1,2
621,4,8,1,1,8,10,1,1,7,2,2
622,2,8,2,1,1,2,2,3,4,1,2
623,4,6,3,2,4,3,2,1,11,3,2
624,3,7,2,1,5,10,2,3,9,3,1
625,4,2,1,1,7,4,2,2,9,1,1
626,3,4,1,2,6,3,2,2,11,3,1
627,4,1,1,1,10,2,1,3,7,3,2
628,4,6,2,2,6,8,1,2,5,2,2
629,1,2,3,2,5,3,2,2,9,1,2
630,4,2,3,2,9,2,2,3,9,1,1
631,2,1,1,1,9,5,2,2,10,3,1
632,4,7,2,2,10,9,1,2,7,3,1
633,3,2,3,1,2,8,1,1,11,2,1
634,1,4,3,1,2,3,2,2,11,3,1
635,1,6,1,1,2,2,1,3,6,3,1
636,1,8,2,1,4,3,1,2,1,2,1
637,3,1,1,1,5,5,2,1,11,2,2
638,2,1,1,2,3,9,1,1,10,2,1
639,4,4,2,1,4,1,1,3,4,2,2
640,2,2,2,1,6,1,2,1,8,1,1
641,3,8,2,1,8,3,2,2,5,3,2
642,4,2,3,1,2,8,1,1,9,1,1
643,4,6,3,2,8,3,1,2,3,3,1
644,1,2,3,2,7,5,1,3,9,3,2
645,2,2,2,2,3,7,1,3,10,2,2
646,1,5,2,2,8,6,1,3,11,2,2
647,3,8,3,1,2,4,1,1,2,3,2
648,3,3,2,1,6,6,1,2,2,3,2
649,2,7,2,1,1,1,1,3,5,2,2
650,4,2,2,2,10,5,2,2,3,2,2
651,2,5,3,2,9,4,1,2,2,2,1
652,1,1,2,2,8,3,2,2,5,3,2
653,3,8,3,1,8,1,1,3,5,2,1
654,1,2,3,2,6,2,1,1,2,3,2
655,3,1,3,2,3,1,2,2,5,2,1
656,4,1,2,2,2,2,1,1,5,1,1
657,3,3,2,1,2,5,1,1,7,3,1
658,2,3,2,2,9,8,1,1,6,1,1
659,1,8,1,1,7,3,2,3,5,2,1
660,1,3,3,2,6,8,2,2,9,3,2
661,1,4,1,2,1,10,2,1,10,3,2
662,3,2,2,2,4,1,2,1,5,3,1
663,3,1,2,1,2,8,1,2,10,1,2
664,1,7,3,2,2,7,1,2,11,1,2
665,2,5,3,1,2,6,2,3,11,2,1
666,2,7,2,1,4,10,1,1,4,1,2
667,4,7,2,2,1,5,2,1,9,2,2
668,4,2,1,1,10,3,1,3,1,1,1
669,4,6,2,1,5,8,1,2,3,3,1
670,1,5,1,2,5,9,2,3,6,2,2
671,4,1,2,2,6,3,1,3,9,3,2
672,2,4,2,1,3,9,2,2,4,1,1
673,3,3,2,2,1,7,2,2,1,2,1
674,4,4,1,2,4,5,1,3,7,3,2
