,Bios
272,"i'm sophisticated, intelligent, attractive, eclectic ~ one of a kind.  generous of spirit, compassionate and supportive, i dance to the rhythms of my own heart and i honor my intuition and trust my instincts. the motivating factor in my life has always been love.  i live close to the city for the energy and cultural opportunities it provides, but being with nature is something i will always need...the silence and solitude of a redwood forest and the deep darkness of a country night."
273,
274,"so i'm steppin outta road. unsure of what i'll find...but i'm always curious to find out.  i am humble, grateful, and blessed"
275,"hi, my name is tim. welcome to my profile.  i grew up on the east coast, and came out to berkeley for grad school. after spending a few years here, i fell in love with the bay area and have decided to stay for good. i decided that the combination of weather, people, and nature was worth far more than better pay elsewhere.  now, i want to settle down and start writing a new chapter of my life, hopefully with someone who shares my view of the world."
276,i laugh almost as much as i breathe...expert in the random and ridiculous...wingin' it > structure...dancer to the core...music makes my world go round...forever exploring...always interested in the story behind the person...  what's yours?
277,"i'm a cleveland transplant (7 years ago) now masking as a fog-drenched san franciscan; a slightly eccentric scientist/physician who's a sucker for foreign films, whip cream, topographic maps, foreign kitsch, and thai massages; an introvert convincingly disguised as a gregarious extrovert; more or less sane but blessed with an occasional flaw and quirk. i'm a hedonist for sushi splurges, unscripted adventures, and late sunday mornings spent lounging in bed. i have a curious, imaginative, and creative personality and i like the challenge of discovering/learning new things. i'm an inhaler of nature, and have an inordinate fondness for the outdoors (notwithstanding my acute flying, buzzing, stinging' insect phobia). for those fond of keyword searches [because he hasn't got time to wade through the mire]: run, bike, ski, backpack, art, theatre, dance, lectures, swing dance, ethnic foods, the economist, world affairs, orienteering, scuba dive, travel, kayak, and (the ultimate high) riding in the bike lane' with the renegade drivers of san francisco.  besides my family and friends, my most valuable possession is my well-tattered passport. i put a strong emphasis on exploring the world beyond our borders, acquiring a broader picture of life & culture. my favorites so far- rwanda, iran and tibet. although now more interested in putting down roots than wandering abroad, i make the best of my vacation allotment and get myself to a far flung locale each year.  i am in a great place in my life. i've been around the block a couple times, learned some lessons- some easily but many the hard way- which i value immensely, and now am ready to apply them. i am ready to move forward in my life, partnered with a best friend and lover, and focus on building something together.  i am hoping to find that certain someone that can make any event or situation the only place worth being. a personality that is as charming as the smile they share with the world. out-going, athletic and spontaneous, while at the same time relaxed and leisurely, intelligent, sincere and possessing the virtues that make up a great friend. brains turn me on as much as sensual things; i love an independent thinker with a vivid imagination. kindness, honesty, integrity, loyalty, and tenderness are tattooed on your soul! unwavering curiosity, beaucoup passion, combustible chemistry, seemingly telepathic, incessant, time-defying communication, and cheek-hurting laughter are always nice, too. the frosting would be to meet a man who can also negotiate a rickshaw ride across town for 20 rupees or less. perhaps most importantly, you want a relationship in which we'd share interests, challenge yet support each other, and expand each other's frontiers. a long shelf life is desirable. other than that, surprise me! i love to have expectations shattered now and then."
278,"hi there,  i will do my best here to offer you a snapshot, or perhaps even a zoom-in view of myself and my world. i do this knowing that there is no substitute for what happens in real life - you know, like when two people are close enough to actually sense each other. i do know that engaging in live, two-way conversation feels much more real to me than describing myself to you this way, but here goes.  my friends describe me as passionate, playful, expressive, and adventurous. i'm all about my next adventure and i have a big appetite for life. i aim for a combination of routine and spontaneity in my day to day. i'm fortunate to posses a natural buoyancy toward life. i've cultivated that by being pretty vigilant about watching my mind and not necessarily believing the stories it likes to generate. there's often quite a gap between 'story' and 'reality'. as byron katie likes to say: ""reality is always kinder than the story we tell ourselves about it.""  i get along great with kids because i still have a lot of kid left inside me, but i have also graduated to full adult-hood. i pay my bills on time and don't make too many messes in life. (well maybe some intentional ones, like when i'm finger painting with chocolate pudding) if i like something, more is good, if not, there's plenty else to try. i love being a girl and all that it entails. whether that means dressing up for a special event, or having full access to my emotions, i wouldn't trade it. having a reason to dress up is a big pleasure, i also like a day in my pj's every now and then.  i especially enjoy the unique polarity of masculine and feminine, it's such a rich and unique alchemy. what i'm drawn to in a a man is his quiet confidence and his depth of presence. someone who's comfortable enough in himself that he doesn't need to pretend, posture, or impress, but can simply be the man that he is. secure enough that when he's feeling something he can share it honestly. at home in his body and naturally affectionate. extra plus if you're familiar with tantra and/or taoist practice.  my vision for my next relationship is one that is very dynamic, engaged, and a lot of fun. i'm drawn to connecting with those who are relatively free from the residue of their past so are free to live, act, and make decisions from today. we all have shadow, and one of it's favorite places to show itself is in deeper relationship, but when there is space to welcome that, and even curiosity about it, i find it moves along pretty quickly.  i keep discovering that what matters most, is less about what i'm getting, than how i'm contributing, and i strive to have a positive impact whenever i can. i'm definitely an extrovert since i really enjoy people, i also need some down time to hang with myself.  although i love children, i'm probably not looking to have any, but i sure like playing with them. i wouldn't rule out relationship with you if you're a dad, so long as you've also got time and space for another significant relationship in your life."
279,
280,
281,"i have a zest for life and a passionate heart. i'm authentic, caring, affectionate... outgoing and introspective at the same time. i have depth, integrity, compassion, and enjoy being creative. i love to laugh! i find a good sense of humor, and a smart wit very attractive in a man. i believe in treating people the way i want to be treated. i'm openminded and openhearted, and willing to take a chance on something i believe in."
282,"hello, i see you're checking things out. welcome to the modern era, right?  a little about me: i live in oakland, i used to live in new england, i work regular hours but have been known to escape on short notice, my dog is (seriously) the best dog ever, i enjoy climbing in the sierra and sometimes indoors, skiing when conditions warrant the drive (i.e. a lot this past winter), and otherwise keeping things mostly sane. ""fitness"" seems a ridiculous pursuit in its own right, yet i enjoy doing things that warrant being in shape.  dogs and babies like me. so, if you think you can revert to your infantile/canine roots, you might like me too.  though not terribly shy in person, given the medium i'm choosing to keep (some) things in check. i understand (and certainly appreciate) the tacit chemistry that has been known to overtake our immediate and reptilian urges, but what i am seeking is the kind of long(er)-term coupling that will continue to be interesting, grow organically, and allow for change. if this makes sense to you, please nudge me in the ribs when i become aloof without warning.  nb: i am terrible at feigning disinterest. you will (or damn well should) know if i am interested."
283,"i am an adventurous man who like exploring new places ,going to good restaurants and being in the outdoors as much as possible."
284,"ok well i guess its time to spill my guts out to the world....and notify the people who read this how wonderful and down to earth i am. lol but thats boring, i live with myself everyday and come to realize that id rather ""you"" get to kno me without the persuasion of my perception i love bein a mommie to a lovely 3yr old.... thats #1 without a doubt"
285,"more here than meets the eye focused on inner development, philosophical, strong magnetic center, spiritually nurturing, seeker, a work in progress, born and raised in san francisco, pioneer stock, resilient sensitive, kind, intense  very generous with my affections to the right man not everyone likes me, but those who do, like me a lot  short (5'4""), busty, flexible and strong, earthy, casual, simple. when not dressed for work, i'm dressed for yoga. i don't own a pair of high heels or pantyhose and very little makeup. my hair is the color(s) mother nature gave it, gold, silver and brown."
286,"i love dancing, politics, coffee, tarot cards, thrift store shopping, sunshine, sundresses, public speaking, languages, reading, arm wrestling, travel, art, food, games, and intellectual conversations (nothing turns me on like well functioning brain cells)  i am not, really, and looking"
287,"i am a creative, adventurous, mischievous yet responsible and practical woman. i am playful, happy, upbeat and fun. i forge my own path in the world and am a bit of a non-conformist. at the same time i like to be able to take part in the worlds or roles of hippy, corporate worker bee, artist, renfaire or dickens fair, victorian waltzes, steampunk and down-to-earth friend. one of my favorite afternoons ever was spent on the playa misting people from the back of a two-seater bicycle.  stuff i do: i have a full time job and a part-time business. i enjoy (in no particular order) hiking, kayaking, painting, art, yoga, meditation, going to the gym, reading, languages, card and board games, yard sailing, learning to play the guitar, playing with my 2 cats, fire spinning, hanging out with friends, seeing movies and films, thinking esoteric thoughts, eating healthy meals i have cooked and cuddling when i fall asleep.  that previous paragraph makes me sound so busy. i also like to just chill!  philosophically: i am left-leaning, believe in equality, fairness, helping others, respect and the power of gratitude. i love nature and animals and believe humans are the stewards of the earth and must care for it.  looking for: a partner who has a bright outlook on life, enjoys being active outdoors and mellow indoors, likes thinking and expressing himself, enjoys exploring new places and is more inclined to place an insect outside than kill it. also, if he had a dog that could be really fun. i have dog envy right now."
288,"i think it is very hard to summarize myself in a paragraph or so but in a few words i'm a nice person and like meeting new, interesting people. i love dancing, it is a passion of mine and something that keeps me going. in my free time i love being outdoors usually going to the beach or the park with my dog. i like watching sports i am a huge football fan! i love traveling and wish i could take a year or two of my life and just travel around the world...besides the states i've been to canada, mexico, italy, and tahiti .... next up i think will be samoa and hopefully sometime this year but i would definitely like to travel some more in my lifetime...if you want to know more about me you can ask! :)"
289,meet me i'm fun;)
290,"i'm just this guy, you know? i don't take myself too seriously and just try to have a good time."
291,
292,hey. i'm trying to make the most of this life and meet some awesome people. maybe this site can help with the latter.  i'm optimistic about the future but never miss an opportunity to seize the day.
293,"i live for the thrill of being able to disappear on city breaks to places like the hilly streets of the city for a glimpse of the gorgeous bay, wandering through the cobbled streets of florence in search of local cafes and restaurants, or head down to tsukiji market for a sampling of fresh sashimi. i just love traveling (especially off the beaten path type), making new friends, sample new foods, and reading.  on the physical level, i stay motivated and in shape by swimming, cycling and doing pilates. currently, i'm mastering the art of gourmet cooking through my new-found love of food and cooking. they say, ""the way to a man's heart is through his stomach""...if so, i'm on the right path, right?  at times i can be quite boisterous  the life of the party! however, i can very easily be bribed with a good movie or a novel and a cup of hot cocoa with marshmallows ...ooh-la-la!"
294,"however small, burn for a while, wondrous"
295,"i try to be a good guy. i am caring and respectful. i try to be humble and would do anything for a friend. i have a 4 year old daughter who is funny as hell - and a huge part of my life. we have a blast togther.  i love seeing live music, hiking, live sporting events and just hanging out. i work for in the non-profit space in education reform and i am very dedicated to the mission.  have fun!"
296,"i'm full of energy, like to share it. want to try something new in life. i would like to make a new friend & have some fun."
297,"born and raised in the best city ever, sf. just moved back here after a decade-long fling with dc & nyc (btw, when did i turn the age where i could legitimately start speaking in decades?).  i'm a medical social worker at a local hospital in the city. i like keeping active at the gym and outdoors, but i also have a really comfy couch. my tv likes the giants. i very much love food, coffee, drinks with good people, and being goofy.  looking for someone who's fun, active, compassionate, adventurous and open-minded. communicating clearly when needed, yet letting things slide when not. relationships can be stressful at times, but largely this one would bring peace to both parties, improving on the lives we already have, allowing for some independence where appropriate, but also spending quality time as much as possible.  feel free to say what's up."
298,"i am from sao paulo, brazil, and have lived in sf for 12 years. originally came to study, but fell in love and now call it home. i am unusual in many ways, very down to earth, and love things off the beaten path. i have changed careers and now have my own business, which has been quite an interesting trip. i love traveling and good food (who doesn't?) and will tell you much more if you ask me."
299,
300,"a work in progress, much like this summary of my life. hmmm. is it better to say too little or to say too much?"
301,"welcome... i am one genuine, straight forward, smart, funny, quirky, and crafty lady. i am looking for someone who prefers a super sassy-ass girl that will love you down, tuck you in, make you breakfast and love you all the way. i am ultra loyal to the people i love in my life, for life.  although not religious, i am deeply spiritual--i spent several years in meditation retreat. i would consider myself a deep-thinker, emotionally intelligent and driven.  i gotta be outside daily. take me hiking. take me camping. take me swimming, please! --- i'll be a happy camper. or, you'll otherwise find me in my bed doing crafts--- i'm a grandma at heart.  looking for someone who wants to be with me long term and possibly start a family. (you know- after we get to know each other a little ;) i'm ready for the next level, and i'm out to find that. so the faint of heart and commitment beware! i'm not a one-night stand. but i act like one between the sheets..."
302,"i have been single since 2006, but i have been in three long term relationships in my life and i loved every person. i am still friends with my exes and hopefully you are not the jealous type.  i love travel, art, and i'm a tomboy (i could probably beat most chicks in an arm-wrestling match) and i dress casually most of the time but i can dress up and look hot and classy. i'm an artist, i do hair for a living and i have many accomplishments, one of which is doing 1,000 cartwheels."
303,"living in the city, im really busy all the time. also i have a very large octopus tattoo."
304,"i am an easy going, energetic, self motivated individual. i'm the type of guy you can go jogging with and/or any outdoorsy activity with then get dressed up with! i recently moved back to the city and looking for new friends to hang out with."
305,"sophistication and silliness all rolled into one.... some words that friends use to describe me: funny, affectionate, inquisitive, empathic, wild, creative, mindful, passionate, fierce, a good listener, introspective, deep, effervescent, self-aware, compassionate, silly, courageous and one of a kind. thanx guys, i'm humbled by that list! as i get older i just think that kindness is the coolest thing ever... i love a good, long belly laugh...and am sometimes cleverly disguised as a professional bad-ass. i dig traveling, mostly out of the country. my favorite destination thus far has been africa. i've traveled to (and volunteered with aids & malaria orphans along the way) 15 different countries on this amazing, complex & mysterious continent. can't wait to go back at some point. lived in big sur for a few years and loved it's outrageous rawness. i'm drawn to helping those who are in need, especially children... compassion for self & others is my current focus. finally, i'm a huge fan of long, slow kisses..."
306,"hey guys! i really am 1sassyscorp! lolol! im looking some a male! tall and handsome is a must ! someone hard working! and educated! someone family oriented and ready to treat a lady right! ive heard every line in the book, so please come with conversation and nice pix! be real, and be ready! u only have one shot! i work very hard, im fun, outing and serious when i need to be... anyway if you think you can hang get at me!"
307,"i'm a local, i love the bay and have been back here for the past 7 years after time working/exploring in nyc and la. i love art/art galleries/interesting experiences/interesting people (& am up for pretty much anything). i enjoy appreciating beauty in the day-to-day. i stay active, i travel as much as possible. i've taken time off of work to do my own thing, i've gone to grad school and now i feel pretty settled in a career, in life."
308,"dreamer. peace maker. lover. friend. brother. son.  making choices: truth over honesty and lies; love over lust; quality over quantity; creation over destruction; love and understanding over ignorance and hate  i am spiritual.  i see the world.  i do not agree with most religions. you should need no special vestments and/or special places to connect with the ""divine"".  i love humanity, those rat bastards!  i am a shy man that most people do not believe is shy.  i like to be cool, calm, and collected with everything.  i dislike those who cry ""poor me!""  no hard drugs, disease free.  college graduate.  experienced and knowledge filled.  constantly trying to free myself from the world of fake boobs and noses. love thyself!  able to connect with all types of people - paupers and kings, thugs and officers, old and young.  been around the block without getting dragged through the gutter  true romantic, yet i do not believe in ""soul mates."" the soul mate concept doesn't fit in a world with reincarnation. as the buddha says ""all beings have been your mother."" same goes for soul mates."
309,"from colorado, moved to california after finishing undergrad at cu boulder. graduated from from usf with my teaching credentials and masters in teaching reading."
310,"looking for romance in all the right places...talented technically, well read, loves the out doors and a good symphony is always a treat."
311,"ok, so here i am wondering on this site because a friend had convinced me to check it out. i honestly have no idea how women on here are, i am still new to this online dating scene. i suppose we can get to know each other if you write me.  i am educated, spontaneous, and outspoken"
312,"i am dot-com-er by day, student by night. when venus and mercury align, i am at home typing away and developing a serious case of carpel tunnel syndrome. tweeting is hard work, but someones gotta do it.  life's too short to do the same things over and over, so i try to mix it up. i go for long runs. catch up with friends over drinks. take road trips. fly away for beautiful sunsets. breathe deep in yoga class. hike the labyrinth of oakland hills trails. and drink countless tall lattes hunched over my computer. yes, the last one isn't sexy at all, but it's the truth.  don't reply to me if you don't intend to move beyond okcupid chat. you learn the most about people through time spent offline.. so.. let's catch a movie. grab a drink. take a jog. watch a show. take a cooking class. dance some salsa. walk your dog. try a new restaurant... you get it, right?  intp"
313,"i love laughing its one of my favorite things to do. i am often laughing at myself, i think i'm pretty funny. i am very grateful for the life i have and love my friends and family so much! i have a wonderful job where i get to spend my days with amazing people. my ideal match has a passion for life and is very caring and respectful to others. someone i can talk to and have a blast with no matter what is happening."
314,"sexy, smart and funny -- with a major mischievous streak."
315,
316,"i'm a dude trapped inside a successful adult's body and life. my life of surfing, running, snowboarding, and swimming has not ceased, but it has slowed due to family responsibilities and a high tech job.  i know how to please women with humor. that is right with humor, the #1 most valuable way to enjoy life, love and sensuality. other assets help, but humor and smart humor are #1. those of you who know, know what i mean.  i am married, and happily so, yet have seen the light of a polyamory style in the last 6 months. i have come to appreciate what many in other countries know already - it is fine to have adventuresome relationships outside of your marriage, and continue to meet new people. if you are open and honest with your spouse, then things work out. in my case, both my spouse and i are in the same mindset and are both pursuing outside new friends. it has added excitement and energy to our individual lives, and our life as a couple. no face photos as i have kids in middle and high school, and some discretion is required (""dad, my friend said her mom saw your picture on a dating site, wtf""). happy to send more pictures after some discussion.  i summarize what another friend told me 2 months ago when i told her i was exploring this new approach. she said ""marriage should not be like a prison. you should not have to stop meeting new and interesting people and having human connections. the most miserable people tend to be those that stay monogamous on some moral grounds"". turns out she has been doing this for 5+ years. i urge people to open their minds to the concept."
317,"if you are anything like me, you probably looked at my pictures first before you read my summary. i change my hair a lot. that is why i look different in all my photos. i went to school for cosmetology a few years ago and feel the need to switch things up often.  also, i am the kind of person that will always tell you the truth no matter how ugly. i am just as honest with you as i am with myself. i am not a slave to fashion. i don't like being around people that are more concerned about what you do for a living then who you are. i have an open mind and try to get to know everyone. i can't stand know-it-alls because no one knows-it-all. and i try to take every life experience as a learning lesson."
318,"i'm am a easy going simple kind woman, looking for a friend and partner to share life's journey. i love being out in nature exploring and discovering new and exciting places. i enjoy sports, photography, gardening, movies, music and dancing. i'm affectionate and a hopeless romanitc. full of life ... love to laugh. take my hand, walk beside me, you won't be disappointed in what you find."
319,"i'm easy going, balanced,adventurous,open minded and positive. i value diversity and love to explore cultures different than my own. life is so interesting:-)"
320,i think i'm becoming wiser.
321,"in a tiny nutshell, i'm described as fun, unpredictable at times, goofy/silly, supportive, and loyal.  i am of chinese/japanese (1/4) background, but don't really look like either. i've even been called pakistanian before. man, did that guy need glasses or what. i've been here since 8, so i can't speak engrrish with an accent."
322,
323,"i am a high energy, spontaneous, easy to be with, fun loving person. finding fun new restaurants, walking, films, day trips, good wine and travel are just a few of the things that i like to do."
324,"about me: i'm sweet, healthy and have a great sense of humor. pretty independent, i run my own biz but have room in my life for a special guy that might become a life partner. i'm looking for the real deal- a solid man, mutual respect and great chemistry. i love to travel and spending time in nature recharges my battery. good conversation that can range from philosophical to political to silly is important to me. i like to cook, so staying home is a pleasure but i enjoy all the city has to offer culturally. i try to meditate regularly to tame my monkey mind. if i like you, i'm tactile and prefer an affectionate partner."
325,"me: portland made, east bay raised, spent some time in the tar heel state, and am so glad to be right here in san francisco. except for the parking. i can't do it unless there is going to be a parking lot. huge chicken."
326,"i grew up in 12 different cities and consider myself a tck (third cultured kid - google it :-p)  i am an introverted extrovert - yes, i can be meditative or a party in a box. i'm super outgoing and can get along with pretty much anyone and can make my friends snort out laugh mostly due to my mix of sarcasm, anachronisms and terrible lack of pop culture knowledge.  update: so, okc personality meters are going super haywire - i'm not 'more aggressive' - only at work; and 'less artsy' is super wrong. oy vey!"
327,"i like driving to work like it's a race. i've wanted to be in a demolition derby ever since i saw that happy days episode. and i have been in elbow quarters competitions. i am outgoing and seem to pick somewhat shy guys. this is a mistake.  i like a smattering of activities - as long as i am with fun people, i am happy. i like to hike and camp and have decided to graduate to an aerobed. i crawled onto my friend's bed after she left our tent and was instantly converted. i used to make fun of people like that. i am now open-minded.  i appreciate offensive humor and old school manners. i tend to run 15 minutes late, but am working on it. i'm loyal and love my friends and family. i want to be with someone who enjoys holding their own with them.  i also appreciate men who ask me out on a date within the first conversation. it's so common to have messaging chemistry - it's no predictor of in-person chemistry. let's forego all the conversation and just set up a date :)."
328,"i'm a self-employed professional mill valley woman .family and friendships are very important in my life. my daughter lives in sf with her husband. we're very close and love spending time together. we especially love girl spa days where we can talk all day, catching up on each others' busy lives.  i want a best friend who makes me smile. i'd like a committed relationship with a man approximately my age to share good movies, dinners, cultural events, conversation, take long walks and have a great laugh together; someone who is genuine, affable, has a positive outlook and is emotionally evolved with a sense of humor; someone who is dependable, physically healthy and likes to talk.  the specific details of personality traits, though, are less important than chemistry which trumps traits. meeting each other tells the real story of whether there is a spark."
329,"depending on your perspective i'm either a contradiction in terms or very well balanced. i'll let you be the judge.  i can be super playful, quite funny and annoyingly energetic yet i also value and am able to sit in a place of depth, quite, and stillness for as long as it takes. that could be me meditating in silence or simply connecting with you at the end of the day. i'm grateful to have the most incredible, supportive community of friends around me, people who would do anything for me and yet i treasure my alone time. i plan my trips loosely and then look forward to getting lost on the way.  how i relate with others is incredibly important to me and i spend a lot of time getting that right. i'm a big fan of responsible communication and really believe that at any given moment we are all doing the best we can, even if what we're doing seems not so bright. what this leaves me with is a lot of empathy and compassion for others along with the ability to express myself, my love, my disappointment or whatever is actually up with me in the moment. authenticity is the name of the game.  i have big plans for the future but put a huge emphasis on the now. i'm quite good at accepting things just as they are but that doesn't mean i'm inclined to roll over and play dead either. a wise man once said, ""the world is perfect just the way it is, including my desire to change it.""  i'll definitely hold the door open for you, but i'm just as likely to smack you on the butt & chase you down the street when you least expect it. you're beautiful to me, reasonably athletic & know how to let your hair down even if it's short. you like to flirt (preferably with me) & love to kiss (also preferably with me). you also love to sweat a little, whether it's from dancing into the wee hours, a little outdoor athletic activity or a good roll in the hay. ok, we'll call it perspiration. essentially you have a strong mind, body & heart, & you're not afraid to use any of them. you are silly and playful, radiant and affectionate."
330,"let's see what can i tell you about me. if i had to pick two words to describe myself they would be ""spicy"" and ""kindhearted."" i still believe in romance. i am fun and spontaneous. i am a people person yet can enjoy a quiet night at home curled up with my man or a good book or movie. i have a good sense of humor, and i love to laugh. i was brought up in san francisco, so i appreciate the city, but i now live in the suburbs and enjoy the country as well. i think i am well-rounded and can appreciate many environments. i won't play games."
331,"originally from berkeley, usa, i have rejected the conformist natures of this community and instead fallen in love with san francisco. i work hard, but never intend to. i really want to work hard on having interesting conversations with as many people as possible.  i am troublemaking, driven, and curious"
332,i just joined and don't know what to write.
333,"hi, i'm a student at caada college and i plan to transfer to cal poly with a mechanical engineering major. i love spending time with friends and i especially love to go camping and hiking with them.  i have a very wide range of interests. i love using math to solve real-world problems. i enjoy playing piano, dancing, rock climbing, horse back riding (which, unfortunately, i have not had time for this semester), learning other languages, writing computer programs, camping, backpacking, canoeing down rapids, etc.  my faith is extremely important to me. jesus has taught me many lessons in my short life. he has been there for me in times of trouble and he always answers prayer (even if the answer is a no). i often stumble, but i really try to be a light to the world, someone jesus can use to his glory in the world. one of my favorite verses is galatians 6:2 ""bear ye one anothers burdens and so fulfill the law of christ."" jesus has given me a wonderful church community and provided me with some really amazing opportunities to travel and see the world. thank you, jesus."
334,"born in the far east, childhood in the south, high school in the bay area, higher education on the east coast, the past 3 years in southern california, and sf since january.  i don't identify with any one place and appreciate them all; however, i'm finding sf pretty amazing. food, culture, food, nature, and food keeps me happy happy."
335,"i'm a happy, well adjusted 61 year old female who doesn't act or feel that old. i have a great life except i'm missing that last piece to make it complete. i have lots of great friends, a great family and now i'm looking for a great man to enjoy life with..."
336,
337,"purebred cali girl! born and raised in nor cal and just moved back. love sf and work life balance is mandatory! so, what am i all about? clearly, you'll see that i'm a series of contradictions! :-) to start, quality over quantity! i'm not a serial dater but would probably enjoy cereal on a date;-) i like a little bit of this, but a little bit of that too! i'm sassy (but still classy) and i like to spice it up, but i'm nice to everyone from the homeless person to the quirky waiter to the random person at the coffee shop. can take it as well as i can dish it! definitely goofy (rarely take myself too serious) and find the ""funny"" in most situations, but it's fun to ""geek out"" and have an analytical side too. sort of a ""glam girl-sporty spice"", if you have to label it! (50/50 split but even that fluctuates with the market) so, i don't mind getting my hands dirty and love a challenge, but spiders scare me and it would take more than the sf hills to ditch my heels. unless, i'm running around cali style, at the beach, on the soccer field or in the mountains! absolutely a chameleon... which means that i turn colors to adapt to the environment (change outfits like a superhero). really, i just truly enjoy the variety of life from one extreme to the next. can you relate? hopefully not the girly tomboy part, but being a fellow chameleon with many colors."
338,"2011 was a transition year for me as i relocated back to the us after spending 4 marvelous years in ireland. i wasn't ready to leave europe, but san francisco and all it has to offer has been my savior!  i grew up in southern california, headed to the midwest for college where i studied engineering and played big 10 volleyball, and moved back to california, this time san diego, for graduate school. i've been with the same company nearly 10 years: 4 in southern ca, 4 in ireland, and now 1+ year in the bay area.  i think my friends would describe me as funny/witty with a few quirks, selfless, smart, and determined. i'm fairly low maintenance. i like roughing it but crave an occasional luxury. i'm a social person though i've dropped a few notches on the extrovert scale over the years. i'm comfortable with spending time alone as long as i've a good read. however, i love being surrounded by friends, enjoy hosting/entertaining, and usually have some travel plans in the works.  i am open minded and always willing to try something new!"
339,"an east-coast transplant with strong european roots. fell in love with san francisco instantly...but eventually left in search of...something. myself? home? first went up to the hills of humboldt...then small-town british columbia...then back down to portland oregon. finally realized that, whatever it was that i was in search of, was right here in the bay area all along..."
340,"producer, musician, poet, visionary. passionate lover of life. every breath is a blessing.  it's funny. most of us say we want to be liked/loved for who we are. but how much time do we spend asking ourselves, ""who am i, and what gifts do i have to offer the world?"" i'm still putting those puzzle pieces together, but the emerging image becomes clearer every day, and i'm enjoying what i see.  ""what kind of an idea are you? are you the kind that compromises, does deals, accommodates itself to society, attempts to find a niche, to survive; or are you the cussed bloody-minded, ramrod-backed type of damnfool notion that would rather break than sway with the breeze? -- the kind that will almost certainly, ninety-nine times out of a hundred, be smashed to bits; but, the hundredth time, will change the world."" --salmon rushdie"
341,an adventurous silly professional. 
342,i love my job. i'm happy with my home. i'm on speaking terms with everyone in my family. my passport has a good assortment of stamps in it. i've even reached terms with my maker over the whole hairline thing. and any baggage i bring to a relationship is small enough to go into the overhead bin. so all in all my life is pretty great. i just hope that the next step is to find someone to share that with.  fair warning - my sense of humor might be a bit sarcastic. my taste in music leans to the obscure. and my curiosity sometimes gets away from me (and from time to time gets me in trouble). but through all that i can promise you an interesting collection of experiences.
343,"ok i decided to change my summary to make it short and simple.  i was born in nicaragura, raised in miami and have made my adult life here in sf.  here are my day to day acitivities. if you can picture yourself doing any of those things with me contact me.  i try and work out at the gym every day or go to my boxing classes when its nice and sunny you'll find me at dolores park reading a book, drinking a beer and relaxing with friends i love dancing.. salsa, hip hop, techno and electronic i enjoy traveling to events like salsa congresses, or electronic festivals i also love traveling out of the country. i do enjoy staying home, wathcing a movies, eating in and just enjoying the moment of peace that only your home can provide. love house parties, pool parties, and bars. honestly it makes no difference. i use to ride a motorcycle not anymore, but i still enjoy riding on the back of a nice fast street bike.. just in case you have one.. =) i have a helmet. hint hint!!. eating out to dinner... nothing fancy.. i will always prefer a chil location with lots of people good music rather then a fancy resturant where you have to whrisper. but i am kinda picky with food mainly becuase im allergic to pork and fish =( i love making people laugh.. i enjoy meeting new people... i am very outgoing and friendly. i'm very spontaneous, its the best way to get me out! not much of a planner unless its a trip out of the country but even then i only need a month in a advance.  do you think you can hang with me?"
344,"i'm a 20 year old normal guy who is having them same problem everyone else my age has...what to do with my life. i'm kind, caring, open, and spontaneous. i love to live life day by day planning only the things that require planning, like my work schedule and school. i'm currently looking for someone to do things with and hopefully it can evolve into a deeper relationship. i enjoy hiking, swimming, dancing, singing(although not well), watching movies, playing games, and much much more."
345,"i'm a savant, epicure, rhodes scholar, m.d., phd & vip.  i speak seven languages fluently.  i'm active in charity work with disabled cheerleaders.  i love puppies, kitties and other small furry creatures  i love romantic walks along moonlit beaches, weeps at sunsets, & dream of the day when humanity can live together in communal peace & enlightenment.  i'm hung like a equus caballus and well studied in the kama sutra and not averse to providing maximum gratification with just a touch of discipline.  i dabble in rocket science and quantum physics.  i have authored 15 books, 87 published articles, 23 screenplays, 114 patents and i blog.  i like to paint expressionist watercolors, write haiku poetry, & have composed 11 major symphonies (plus one opera in bulgarian).  i'm trained in jungian psychology & lectures on zen.  i was awarded a medal of honor for bravery in combat.  i climbed everest, swam the english channel & was knighted by the queen.  i won 3 olympic gold medals and 6 academy awards  i performed hamlet, met elvis, attended woodstock. claimed nobel prize in medicine. flew the space shuttle and my band sells out madison square garden on every tour.  i'm a par golfer, master craftsman, and gourmet cook.  broke the 4 minute mile, brokered peace in the middle east and i'm a jeopardy champ.  i'm a certified mechanic and advanced avatar.  i circumnavigated the globe piloting my own lear jet and luxury yacht.  i enjoy ballroom dancing as well as salsa (did i mention that i won a trophy for salsa dancing).  by the way, i just got this really fucking cool tattoo on my back. it's of a cobra wrapped around a skull (going in and out of the empty eye sockets, of course!) with flames in the background. the whole thing is on the hood of a fucking awesome z-28 which is peeling out with clouds of smoke in the shape of a pot leaf coming off the wheels as they burn rubber!!! the grim reaper is driving the z-28 with his sharp hell scythe sticking out the window."
